step,loss,accuracy,drift
0,0.7662113904953003,0.5390625,False
1,0.7380125522613525,0.546875,False
2,0.7685302495956421,0.5390625,False
3,0.8077853918075562,0.4609375,False
4,0.7623074054718018,0.5546875,False
5,0.6908071041107178,0.5703125,False
6,0.7121994495391846,0.5703125,False
7,0.7038096785545349,0.59375,False
8,0.7161762118339539,0.5625,False
9,0.7079471349716187,0.5546875,False
10,0.6692705154418945,0.5859375,False
11,0.6830693483352661,0.5859375,False
12,0.6598832011222839,0.609375,False
13,0.6646205186843872,0.6328125,False
14,0.632932722568512,0.640625,False
15,0.6610077023506165,0.6796875,False
16,0.6701213717460632,0.6015625,False
17,0.6759517788887024,0.5859375,False
18,0.5912538170814514,0.703125,False
19,0.5964627265930176,0.65625,False
20,0.6038183569908142,0.6875,False
21,0.6525924801826477,0.5859375,False
22,0.6165124177932739,0.65625,False
23,0.5837441682815552,0.734375,False
24,0.6154670119285583,0.6796875,False
25,0.521031379699707,0.75,False
26,0.5678181052207947,0.7109375,False
27,0.6840320825576782,0.578125,False
28,0.5962224006652832,0.7109375,False
29,0.5583261251449585,0.7109375,False
30,0.5686634182929993,0.7109375,False
31,0.5654362440109253,0.71875,False
32,0.6016990542411804,0.65625,False
33,0.5217698812484741,0.78125,False
34,0.5281705856323242,0.765625,False
35,0.5833889842033386,0.71875,False
36,0.5637041926383972,0.734375,False
37,0.5488346815109253,0.7265625,False
38,0.5220635533332825,0.7578125,False
39,0.5230567455291748,0.703125,False
40,0.48339033126831055,0.8046875,False
41,0.5378907918930054,0.71875,False
42,0.5347474813461304,0.7578125,False
43,0.49299266934394836,0.7578125,False
44,0.5095856189727783,0.7421875,False
45,0.4885091483592987,0.78125,False
46,0.48613232374191284,0.78125,False
47,0.4939645528793335,0.7578125,False
48,0.5123597383499146,0.734375,False
49,0.47612226009368896,0.7734375,False
50,0.4801364839076996,0.8125,False
51,0.542797863483429,0.71875,False
52,0.43084055185317993,0.8125,False
53,0.5170632600784302,0.7265625,False
54,0.5188049077987671,0.71875,False
55,0.4482221305370331,0.8203125,False
56,0.45597466826438904,0.8203125,False
57,0.5281720757484436,0.734375,False
58,0.44415852427482605,0.8203125,False
59,0.5736706256866455,0.6796875,False
60,0.4545817971229553,0.7890625,False
61,0.4769226908683777,0.8046875,False
62,0.5217995047569275,0.7421875,False
63,0.4739595949649811,0.7890625,False
64,0.43975865840911865,0.78125,False
65,0.474721223115921,0.765625,False
66,0.5508091449737549,0.6953125,False
67,0.5646145939826965,0.703125,False
68,0.4376172721385956,0.796875,False
69,0.4614633619785309,0.7890625,False
70,0.5355211496353149,0.703125,False
71,0.4877341389656067,0.75,False
72,0.47614675760269165,0.7421875,False
73,0.4439641237258911,0.78125,False
74,0.4525045156478882,0.8203125,False
75,0.4265524446964264,0.828125,False
76,0.4951808750629425,0.7734375,False
77,0.4820868968963623,0.7734375,False
78,0.516432523727417,0.71875,False
79,0.45352211594581604,0.7890625,False
80,0.49065420031547546,0.7890625,False
81,0.4916040003299713,0.75,False
82,0.46497052907943726,0.8046875,False
83,0.5218093395233154,0.7421875,False
84,0.4682942032814026,0.796875,False
85,0.5526852607727051,0.6640625,False
86,0.5421122908592224,0.7109375,False
87,0.5371204614639282,0.71875,False
88,0.43366098403930664,0.8359375,False
89,0.4915162920951843,0.75,False
90,0.46895352005958557,0.7734375,False
91,0.5500258803367615,0.7578125,False
92,0.49482446908950806,0.7578125,False
93,0.5064213275909424,0.734375,False
94,0.5400315523147583,0.7109375,False
95,0.5899947881698608,0.71875,False
96,0.5481903553009033,0.7421875,False
97,0.5414712429046631,0.734375,False
98,0.485147625207901,0.765625,False
99,0.5194283723831177,0.703125,False
100,0.48164162039756775,0.7265625,False
101,0.48333555459976196,0.7421875,False
102,0.42148494720458984,0.7890625,False
103,0.38200926780700684,0.84375,False
104,0.48928770422935486,0.765625,False
105,0.5015906095504761,0.7734375,False
106,0.5147032141685486,0.7734375,False
107,0.4331757128238678,0.765625,False
108,0.4118374288082123,0.8046875,False
109,0.4827877879142761,0.78125,False
110,0.48489367961883545,0.8046875,False
111,0.5258207321166992,0.7734375,False
112,0.4914228618144989,0.7890625,False
113,0.5069811940193176,0.734375,False
114,0.44228607416152954,0.796875,False
115,0.5093522071838379,0.7578125,False
116,0.526162326335907,0.7578125,False
117,0.4758015275001526,0.78125,False
118,0.4879682660102844,0.7578125,False
119,0.49537959694862366,0.7578125,False
120,0.4197913408279419,0.828125,False
121,0.5262975096702576,0.7734375,False
122,0.6992282271385193,0.703125,False
123,0.6863555312156677,0.609375,False
124,0.6298070549964905,0.7734375,False
125,0.6530011296272278,0.6875,False
126,0.7318797707557678,0.6484375,False
127,0.5266658067703247,0.7109375,False
128,0.7211316227912903,0.671875,False
129,0.6787418127059937,0.671875,False
130,0.6544276475906372,0.6796875,False
131,0.6144587397575378,0.71875,False
132,0.6116246581077576,0.703125,False
133,0.6826858520507812,0.6640625,False
134,0.5132842063903809,0.734375,False
135,0.5833334922790527,0.7421875,False
136,0.4951740503311157,0.765625,False
137,0.5586927533149719,0.6796875,False
138,0.5842195749282837,0.7109375,False
139,0.5890164971351624,0.6875,False
140,0.48310157656669617,0.7734375,False
141,0.5565149188041687,0.75,False
142,0.5110164880752563,0.765625,False
143,0.5515146255493164,0.71875,False
144,0.5136903524398804,0.765625,False
145,0.5404465198516846,0.7265625,False
146,0.5211185216903687,0.765625,False
147,0.4594208002090454,0.8046875,False
148,0.5672034025192261,0.671875,False
149,0.4647960364818573,0.78125,False
150,0.4813472628593445,0.7734375,False
151,0.446698933839798,0.765625,False
152,0.43645623326301575,0.78125,False
153,0.41954901814460754,0.7890625,False
154,0.4950782358646393,0.734375,False
155,0.49501165747642517,0.7578125,False
156,0.46151357889175415,0.7578125,False
157,0.3753543198108673,0.8125,False
158,0.5028101205825806,0.75,False
159,0.3862529695034027,0.796875,False
160,0.4038035273551941,0.828125,False
161,0.40468698740005493,0.828125,False
162,0.3628709018230438,0.8359375,False
163,0.3948061466217041,0.828125,False
164,0.35328537225723267,0.84375,False
165,0.4264013469219208,0.7890625,False
166,0.44491901993751526,0.7734375,False
167,0.39695584774017334,0.84375,False
168,0.34679991006851196,0.84375,False
169,0.40358540415763855,0.8359375,False
170,0.39127281308174133,0.828125,False
171,0.3861447274684906,0.7890625,False
172,0.3528766334056854,0.84375,False
173,0.3594481647014618,0.8515625,False
174,0.3643995225429535,0.859375,False
175,0.35348737239837646,0.828125,False
176,0.3447861075401306,0.828125,False
177,0.3600839674472809,0.8203125,False
178,0.38294869661331177,0.828125,False
179,0.34180936217308044,0.84375,False
180,0.36125698685646057,0.8125,False
181,0.3753831386566162,0.828125,False
182,0.4317737817764282,0.8125,False
183,0.3395911455154419,0.84375,False
184,0.33739495277404785,0.84375,False
185,0.32472577691078186,0.859375,False
186,0.3524790406227112,0.8359375,False
187,0.3308555781841278,0.8515625,False
188,0.2854611873626709,0.8984375,False
189,0.3704586327075958,0.8125,False
190,0.2827605903148651,0.90625,False
191,0.29538828134536743,0.890625,False
192,0.3125220239162445,0.875,False
193,0.36584287881851196,0.8046875,False
194,0.3062109649181366,0.8515625,False
195,0.3054649531841278,0.8671875,False
196,0.2766174077987671,0.8828125,False
197,0.2809388041496277,0.8984375,False
198,0.283447802066803,0.8828125,False
199,0.30085399746894836,0.8828125,False
200,0.32816699147224426,0.8828125,False
201,0.27541202306747437,0.8828125,False
202,0.31812313199043274,0.875,False
203,0.3452725410461426,0.875,False
204,0.342384397983551,0.875,False
205,0.3676213324069977,0.796875,False
206,0.28691017627716064,0.8984375,False
207,0.32655906677246094,0.890625,False
208,0.2971959710121155,0.875,False
209,0.2787523865699768,0.8984375,False
210,0.26239916682243347,0.90625,False
211,0.2884150743484497,0.8828125,False
212,0.30615752935409546,0.875,False
213,0.2815304696559906,0.8828125,False
214,0.26088953018188477,0.9140625,False
215,0.2691132128238678,0.875,False
216,0.3141193091869354,0.84375,False
217,0.34060975909233093,0.8359375,False
218,0.303317129611969,0.8984375,False
219,0.24572446942329407,0.921875,False
